added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2019-02-06T09:44:59Z,76mOCqi8m7sYjCPa43CEaS,Mi drogherò,Irama,0.101,0.79,155773,0.849,2.71e-06,10,0.441,-5.442,0,0.0373,110.015,0.741
2019-02-02T18:29:45Z,2cTOee6bTauDFK1QuDS1BD,What Else Is There ?,Röyksopp,0.185,0.704,317173,0.927,0.108,9,0.325,-7.157,1,0.0437,114.995,0.342
2019-02-01T22:16:04Z,2MgLCEye9usoGypOy65pe7,Mississippi w ogniu,Organek,0.0176,0.489,286267,0.673,0.203,11,0.0948,-9.834,0,0.0335,136.028,0.264
2019-01-31T21:24:04Z,0bxbFEIHWZ2E6QyVwsEnzh,Bang Bang,Warhaus,0.0352,0.686,256983,0.537,0.053,3,0.067,-8.141,0,0.0274,105.961,0.259
2019-01-31T21:01:42Z,0hY007HjzikzpSzalfroVI,Mad World,Warhaus,0.0645,0.677,219251,0.539,0.174,6,0.433,-8.144,0,0.0378,97.983,0.77
2019-01-31T16:05:07Z,1gnKUue6F9gXXHQshCBwEs,"Survive (feat. Emeli Sandé, Gucci Mane)",Don Diablo,0.714,0.585,189427,0.772,6.97e-06,10,0.113,-6.619,0,0.196,99.565,0.364
2019-01-30T21:54:26Z,359HNzfOXhCMHB1pNKhyfH,Paris,Sabrina Carpenter,0.0482,0.576,218080,0.671,0,2,0.114,-6.408,0,0.0474,114.839,0.226
2019-01-28T01:43:41Z,6PUYqQtGWVAovZrLC9BIqt,Babylon,5 Seconds of Summer,0.00155,0.521,213186,0.884,1.69e-06,4,0.209,-2.931,0,0.0403,92.988,0.494
2019-01-24T23:23:35Z,5600nq7TiBraBX2jobyJ3l,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Dua Lipa,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,188.098,0.509
2019-01-24T23:20:55Z,013TFRzJWkT41RRSgSenfI,i don't know what to say,Bring Me The Horizon,0.0154,0.499,352375,0.728,0.0982,7,0.246,-6.744,0,0.055,92.449,0.239
